i	bg	bt	bts	w	dw
0.0	200	0.02	0.0004	90.9567	5.66999999999922e-05
0.2	322	0.0322	0.00103684	91.0263	0.00012630000000000052
0.4	444	0.0444	0.00197136	91.1418	0.0002417999999999978
0.6000000000000001	582	0.0582	0.00338724	91.32	0.0004199999999999875
0.8	717	0.0717	0.00514089	91.4923	0.0005922999999999945
1.0	853	0.0853	0.00727609	91.827	0.0009269999999999925
1.2000000000000002	993	0.0993	0.00986049	92.1618	0.001261799999999994
1.4000000000000001	1124	0.1124	0.01263376	92.5437	0.0016436999999999956
1.6	1247	0.1247	0.01555009	92.9538	0.0020537999999999954
1.8	1382	0.1382	0.019099239999999996	93.411	0.002510999999999996
2.0	1503	0.1503	0.022590089999999997	93.9386	0.003038599999999988
2.2	1630	0.163	0.026569000000000002	94.4329	0.003532899999999998
2.4000000000000004	1745	0.1745	0.030450249999999995	94.8823	0.003982299999999995
