v1100,v2100,i100,r100
47,11,1166.1654135338345,0.009432624113475178
48,12,1190.9774436090224,0.010075757575757576
52,13,1290.2255639097743,0.010075757575757576
55,14,1364.6616541353383,0.010258953168044078
59,15,1463.9097744360902,0.01024653312788906
61,16,1513.5338345864661,0.010571286636860407
64,17,1587.96992481203,0.010705492424242425
68,18,1687.2180451127817,0.010668449197860964
70,19,1736.8421052631577,0.010939393939393941
73,20,1811.2781954887216,0.011041926110419263
76,21,1885.7142857142856,0.011136363636363637
79,22,1960.1503759398495,0.011223628691983123
81,23,2009.7744360902254,0.011444070332959223
85,24,2109.022556390977,0.011379679144385028
87,25,2158.646616541353,0.01158133054684779
90,26,2233.082706766917,0.011643097643097644
91,27,2257.894736842105,0.011958041958041959
94,28,2332.330827067669,0.012005157962604773
95,29,2357.142857142857,0.012303030303030305
99,30,2456.390977443609,0.01221303948576676
101,32,2506.0150375939847,0.012769276927692771
103,34,2555.6390977443607,0.013303912915563402
106,35,2630.0751879699246,0.013307604345340195
110,37,2729.3233082706765,0.013556473829201103
99,40,2456.390977443609,0.016284052647689014
90,65,2233.082706766917,0.02910774410774411
84,71,2084.210526315789,0.03406565656565657
80,99,1984.9624060150375,0.049875
75,105,1860.9022556390976,0.05642424242424243
71,114,1761.6541353383457,0.06471190781049936
69,118,1712.0300751879697,0.06892402283706632
66,127,1637.593984962406,0.07755280073461891
65,135,1612.781954887218,0.0837062937062937
63,140,1563.157894736842,0.08956228956228957
62,145,1538.345864661654,0.09425708699902248
59,150,1463.9097744360902,0.1024653312788906
58,157,1439.0977443609022,0.10909613375130617
56,162,1389.4736842105262,0.11659090909090909
55,167,1364.6616541353383,0.12237465564738292
54,173,1339.8496240601503,0.12911896745230078
53,179,1315.0375939849623,0.1361177815894797
52,187,1290.2255639097743,0.14493589743589744
51,200,1265.4135338345864,0.15805109922756982
45,211,1116.5413533834585,0.188976430976431
42,221,1042.1052631578946,0.2120707070707071
37,230,918.0451127819548,0.25053235053235057
33,242,818.796992481203,0.29555555555555557
27,248,669.9248120300751,0.37019079685746353
24,262,595.4887218045112,0.4399747474747475
20,270,496.24060150375936,0.5440909090909092
19,276,471.4285714285714,0.5854545454545454
17,279,421.80451127819543,0.6614438502673797
16,283,396.9924812030075,0.7128598484848485
14,284,347.36842105263156,0.8175757575757576
13,289,322.5563909774436,0.895967365967366
12,292,297.7443609022556,0.9807070707070709
11,304,272.93233082706763,1.1138292011019286
12,328,297.7443609022556,1.1016161616161617
13,379,322.5563909774436,1.1749883449883451
15,396,372.18045112781954,1.064
18,408,446.6165413533834,0.9135353535353536
20,421,496.24060150375936,0.848378787878788
22,428,545.8646616541353,0.784077134986226
26,433,645.1127819548872,0.6712004662004663
30,439,744.3609022556391,0.5897676767676768
35,446,868.4210526315788,0.5135757575757577
40,451,992.4812030075187,0.4544166666666667
44,456,1091.7293233082705,0.4176859504132232
52,460,1290.2255639097743,0.3565268065268066
59,465,1463.9097744360902,0.31764252696456086
70,470,1736.8421052631577,0.2706060606060606
82,475,2034.5864661654134,0.2334626755358463
95,485,2357.142857142857,0.20575757575757578
111,490,2754.1353383458645,0.1779142779142779
136,495,3374.4360902255635,0.14669117647058824
152,500,3771.428571428571,0.1325757575757576
170,501,4218.045112781954,0.11877540106951874
190,505,4714.285714285714,0.10712121212121213
204,507,5061.654135338345,0.10016488413547238
230,510,5706.766917293233,0.08936758893280633
235,511,5830.827067669173,0.08763765312701484
